#{"t_start": 1760181361.28534, "env_id": "None"}
r,l,t
101.0,1,5.422474
102.0,6,5.429566
101.0,2,5.432032
105.0,6,5.439508
102.0,3,5.443029
101.0,3,5.446735
104.0,5,5.452754
102.0,2,5.455096
101.0,2,5.457469
101.0,1,5.458688
103.0,6,5.465661
102.0,2,5.468419
102.0,7,5.476911
101.0,1,5.478143
105.0,5,5.484732
101.0,1,5.485959
101.0,3,5.489419
101.0,1,5.490655
104.0,6,5.497735
102.0,3,5.501696
101.0,1,5.502922
101.0,1,5.504074
106.0,7,5.51275
102.0,2,5.515112
102.0,3,5.520472
102.0,2,5.524071
105.0,8,5.537704
101.0,1,5.539404
101.0,1,5.541195
103.0,3,5.546463
101.0,1,5.548605
103.0,4,5.553248
101.0,1,5.5544
103.0,4,5.55911
101.0,8,5.569303
102.0,3,5.572858
103.0,6,5.580514
106.0,7,5.589447
103.0,3,5.593013
102.0,4,5.599521
101.0,2,5.603021
104.0,4,5.609708
101.0,1,5.611711
104.0,4,5.616326
101.0,1,5.617539
101.0,1,5.618701
101.0,1,5.619852
101.0,1,5.620997
103.0,3,5.62495
101.0,2,5.62777
102.0,3,5.63135
102.0,2,5.633778
103.0,3,5.63737
102.0,2,5.639901
102.0,3,5.643689
102.0,2,5.646124
102.0,2,5.648359
102.0,3,5.651972
101.0,1,5.653174
106.0,10,5.665193
105.0,8,5.676743
102.0,4,5.684734
103.0,4,5.689372
106.0,8,5.698555
101.0,1,5.699715
104.0,4,5.704401
101.0,1,5.705558
102.0,2,5.709063
103.0,5,5.715324
105.0,8,5.726508
106.0,9,11.787359
101.0,1,11.788826
101.0,1,11.790552
101.0,1,11.791972
101.0,1,11.793237
103.0,3,11.797738
101.0,1,11.799088
103.0,3,11.803011
101.0,1,11.804198
101.0,1,11.80544
101.0,4,11.810534
104.0,5,11.816176
101.0,1,11.817672
102.0,2,11.819976
102.0,2,11.823646
102.0,4,11.830189
101.0,2,11.833048
102.0,2,11.835692
101.0,1,11.836949
104.0,6,11.844267
102.0,3,11.848011
101.0,2,11.850709
103.0,4,11.855845
101.0,1,11.857161
106.0,6,11.864068
101.0,1,11.865373
101.0,1,11.866723
101.0,1,11.86803
101.0,3,11.872358
101.0,1,11.873622
102.0,2,11.876041
101.0,1,11.877323
104.0,5,11.883505
101.0,2,11.886207
106.0,9,11.896883
101.0,2,11.899436
103.0,3,11.903616
102.0,2,11.906102
102.0,2,11.908534
104.0,5,11.914584
102.0,3,11.918611
101.0,1,11.919941
102.0,3,11.923595
104.0,4,11.928154
102.0,2,11.930722
102.0,2,11.933208
104.0,4,11.938446
103.0,5,11.944676
101.0,2,11.947
101.0,2,11.949578
103.0,3,11.954783
107.0,9,11.971855
104.0,4,11.97917
103.0,3,11.985385
101.0,1,11.9867
101.0,2,11.989066
101.0,1,11.990318
101.0,1,11.991563
103.0,4,11.996574
102.0,3,12.001517
103.0,3,12.004964
101.0,1,12.006192
104.0,4,12.010889
102.0,5,12.019166
101.0,2,12.021658
101.0,1,12.022845
102.0,2,12.02519
102.0,2,12.028021
101.0,1,12.029362
104.0,5,12.035241
101.0,1,12.036466
104.0,6,12.044334
102.0,2,12.047808
101.0,1,12.049578
105.0,5,12.056274
103.0,3,12.060772
101.0,1,12.062716
104.0,4,12.070174
101.0,1,12.071915
101.0,1,12.073653
101.0,2,12.077034
102.0,2,12.079498
102.0,2,12.081902
101.0,4,12.086751
101.0,2,12.089083
101.0,2,12.092318
102.0,2,12.095913
101.0,1,12.097613
102.0,4,12.10481
103.0,4,12.111133
101.0,2,12.113621
102.0,2,12.11606
102.0,3,12.119809
106.0,9,12.131144
101.0,1,12.132297
101.0,2,12.134749
103.0,5,12.141333
102.0,2,12.143597
103.0,3,12.147266
101.0,1,12.148487
104.0,4,12.153504
101.0,1,12.155014
101.0,1,12.156732
104.0,10,12.168293
101.0,1,12.169591
101.0,1,12.170986
101.0,1,12.172365
101.0,1,12.173549
101.0,1,12.174709
101.0,1,12.175962
102.0,2,12.178612
101.0,1,12.179844
101.0,2,12.182279
104.0,7,12.190972
101.0,2,12.19346
101.0,2,12.19575
102.0,3,12.199548
102.0,5,12.207961
102.0,3,12.212198
102.0,2,12.214784
104.0,6,12.222253
101.0,1,12.223451
106.0,7,12.231985
102.0,2,12.235261
103.0,3,12.239083
101.0,1,12.240323
101.0,1,12.241607
101.0,1,12.243057
101.0,2,12.245588
102.0,2,12.248087
101.0,1,12.249933
105.0,5,12.25613
101.0,1,12.257324
101.0,1,12.25856
101.0,1,12.259861
102.0,2,12.262434
104.0,5,12.271322
102.0,2,12.275044
103.0,3,12.280058
102.0,2,12.284259
101.0,3,12.289858
105.0,5,12.298388
101.0,1,12.299669
104.0,4,12.304098
101.0,2,12.306628
101.0,1,12.308008
101.0,2,12.31068
101.0,1,12.311919
103.0,6,12.321887
4.0,10,12.335702
101.0,1,12.337162
101.0,1,12.338471
101.0,1,12.33972
101.0,1,12.340963
104.0,4,12.347067
101.0,2,12.35048
101.0,1,12.352368
101.0,1,12.354311
104.0,4,12.361299
103.0,3,12.36486
104.0,4,12.369692
101.0,1,12.370987
101.0,1,12.372293
101.0,2,12.374676
103.0,4,12.379836
101.0,1,12.381083
102.0,3,12.384619
101.0,1,12.385818
101.0,2,12.388455
101.0,1,12.38976
104.0,5,12.395482
102.0,3,12.399064
101.0,1,12.400335
101.0,1,12.401591
101.0,1,12.40279
101.0,1,12.403976
101.0,2,12.406469
101.0,1,12.407753
101.0,1,12.409319
101.0,1,12.410563
102.0,2,12.412758
104.0,5,12.418706
102.0,2,12.421318
102.0,3,12.425374
102.0,2,12.428147
102.0,2,12.430596
102.0,2,12.432948
101.0,1,12.434208
101.0,2,12.436583
101.0,1,12.437919
101.0,1,12.439097
103.0,3,12.443006
101.0,1,12.444224
104.0,4,12.448961
103.0,4,12.453896
101.0,1,12.455101
102.0,2,12.458897
101.0,1,12.460963
101.0,1,12.462885
101.0,3,12.468171
101.0,1,12.470002
101.0,1,12.471987
104.0,4,12.477211
101.0,1,12.478483
101.0,1,12.4797
101.0,1,12.480911
103.0,4,12.485691
101.0,1,12.48689
101.0,1,12.488679
101.0,1,12.490013
105.0,6,12.497093
101.0,1,12.498343
102.0,2,12.500792
101.0,3,12.504807
103.0,3,12.508509
102.0,2,12.510815
102.0,2,12.513503
102.0,3,12.517231
101.0,1,12.518499
103.0,3,12.522606
101.0,1,12.52387
104.0,7,12.531828
101.0,1,12.533081
103.0,4,12.538847
101.0,1,12.540195
103.0,3,12.543452
104.0,4,12.548351
105.0,5,12.555485
105.0,5,12.561318
104.0,4,12.566354
104.0,5,12.572742
101.0,1,12.573919
101.0,1,12.575117
102.0,2,12.577579
104.0,5,12.584719
