#{"t_start": 1760184802.503352, "env_id": "None"}
r,l,t
104.0,7,5.328225
104.0,4,5.333544
101.0,1,5.334817
105.0,6,5.344217
104.0,5,5.350593
106.0,8,5.363374
104.0,6,5.370588
102.0,2,5.374844
101.0,1,5.377382
105.0,5,5.383463
103.0,4,5.388351
102.0,2,5.393999
102.0,5,5.400432
105.0,8,5.415477
106.0,6,5.427894
106.0,8,5.443604
106.0,8,5.45946
101.0,1,5.460902
103.0,3,5.464474
101.0,1,5.465743
103.0,5,5.471745
101.0,1,5.474762
101.0,2,5.478101
103.0,3,5.481581
104.0,4,5.486266
102.0,3,5.492181
103.0,4,5.499287
103.0,3,5.504375
103.0,4,5.513209
101.0,1,5.514957
104.0,4,5.523296
104.0,6,5.531056
103.0,6,5.538923
102.0,2,5.543297
102.0,4,5.550868
102.0,4,5.559222
101.0,1,5.561111
102.0,2,5.564529
104.0,5,5.573576
101.0,1,5.574973
101.0,1,5.57624
103.0,4,5.582531
101.0,2,5.586777
103.0,3,5.591741
104.0,5,5.59992
101.0,1,5.602131
102.0,2,5.604583
101.0,1,5.60648
101.0,2,5.610447
104.0,5,5.619431
104.0,6,5.628076
102.0,2,5.631384
101.0,1,5.633551
101.0,1,5.63488
104.0,5,5.642886
101.0,2,5.646622
102.0,6,5.655232
103.0,5,5.66458
105.0,6,5.674235
101.0,1,5.675671
105.0,5,5.68297
101.0,1,5.684315
104.0,4,5.69048
103.0,4,5.696277
101.0,1,5.698393
101.0,2,5.701512
104.0,4,5.708131
105.0,8,5.721182
105.0,8,5.734826
102.0,3,5.738185
101.0,2,5.741889
105.0,7,5.752823
101.0,1,5.754627
102.0,3,5.76056
101.0,2,5.764649
103.0,5,5.770478
101.0,1,5.771793
105.0,8,5.78435
107.0,9,5.796131
104.0,5,5.801934
101.0,2,5.804312
105.0,6,5.812944
106.0,7,5.821336
104.0,5,5.82807
107.0,9,5.839078
101.0,1,5.841503
101.0,1,5.843614
103.0,3,5.848782
101.0,1,5.850563
103.0,3,5.85673
101.0,1,5.858888
102.0,2,5.862542
104.0,5,5.871168
101.0,1,5.873279
104.0,4,5.877981
104.0,5,5.883448
102.0,3,5.887146
102.0,3,5.892737
101.0,1,5.894524
102.0,3,5.899647
102.0,2,5.903116
103.0,4,5.909036
103.0,4,5.9137
106.0,10,5.928617
104.0,6,5.939786
102.0,2,5.943373
101.0,1,5.945249
101.0,1,5.94713
102.0,2,5.95078
103.0,4,5.95879
102.0,2,5.962541
105.0,5,5.970864
101.0,2,5.974534
101.0,1,5.976422
101.0,1,5.978454
101.0,1,5.980374
101.0,2,12.378916
102.0,3,12.382903
101.0,1,12.384186
101.0,1,12.385389
102.0,4,12.390408
101.0,1,12.391748
101.0,1,12.393069
103.0,4,12.398567
101.0,1,12.399892
102.0,3,12.403829
101.0,1,12.405259
102.0,4,12.410664
101.0,1,12.412715
102.0,2,12.41631
101.0,1,12.418062
101.0,1,12.419914
101.0,1,12.421843
105.0,7,12.432068
101.0,1,12.433265
101.0,1,12.434527
101.0,1,12.435884
101.0,1,12.437297
101.0,1,12.438662
104.0,5,12.445651
101.0,1,12.44685
101.0,1,12.44812
101.0,1,12.44944
101.0,1,12.450767
101.0,1,12.452147
101.0,2,12.454733
101.0,1,12.45603
104.0,4,12.461607
102.0,2,12.464013
101.0,2,12.466503
104.0,6,12.475922
104.0,4,12.483324
101.0,1,12.485164
101.0,2,12.489367
105.0,5,12.498629
102.0,2,12.502783
101.0,1,12.504311
102.0,3,12.508462
103.0,3,12.512402
101.0,1,12.513692
104.0,5,12.520417
101.0,1,12.521643
101.0,1,12.522931
104.0,7,12.531428
101.0,1,12.532773
101.0,2,12.535605
103.0,3,12.539181
102.0,2,12.541535
102.0,2,12.54402
101.0,1,12.545351
103.0,3,12.549238
103.0,5,12.555844
104.0,6,12.563488
103.0,7,12.572534
102.0,2,12.574865
105.0,5,12.581013
101.0,1,12.582202
101.0,1,12.583957
101.0,1,12.585187
101.0,2,12.587655
106.0,7,12.596556
101.0,2,12.599803
101.0,1,12.601985
101.0,1,12.603846
103.0,3,12.609075
102.0,4,12.616183
101.0,1,12.617497
101.0,1,12.618794
106.0,8,12.628471
102.0,3,12.634328
101.0,1,12.635959
103.0,4,12.64228
101.0,1,12.644725
101.0,1,12.646966
101.0,1,12.648925
102.0,2,12.652799
101.0,2,12.656596
104.0,5,12.666018
101.0,1,12.667247
101.0,1,12.668504
101.0,1,12.669755
103.0,3,12.67345
103.0,3,12.677068
101.0,1,12.678627
101.0,3,12.682624
101.0,1,12.683909
101.0,1,12.685193
101.0,1,12.686521
101.0,1,12.687778
103.0,4,12.692814
101.0,1,12.694628
101.0,1,12.695905
103.0,5,12.702027
103.0,3,12.705597
102.0,3,12.709548
104.0,5,12.716395
101.0,1,12.717691
103.0,3,12.721569
101.0,1,12.722897
102.0,2,12.726363
102.0,4,12.73326
101.0,1,12.735044
104.0,4,12.742386
101.0,1,12.743629
105.0,6,12.750882
101.0,1,12.752193
101.0,3,12.755979
101.0,1,12.757729
103.0,4,12.762767
101.0,1,12.764026
101.0,1,12.765216
101.0,1,12.766488
101.0,1,12.767828
101.0,2,12.770264
101.0,1,12.772637
103.0,3,12.778042
101.0,1,12.779312
101.0,1,12.780559
103.0,4,12.785604
101.0,2,12.788193
101.0,1,12.789728
103.0,4,12.79436
104.0,6,12.801541
102.0,2,12.804214
102.0,2,12.807248
102.0,3,12.810683
101.0,2,12.813071
102.0,2,12.815655
103.0,5,12.82206
106.0,7,12.830497
102.0,2,12.83304
102.0,4,12.838761
101.0,1,12.840055
101.0,1,12.841309
103.0,3,12.844842
104.0,4,12.849931
101.0,1,12.851243
101.0,1,12.85301
104.0,4,12.860011
102.0,2,12.863404
104.0,5,12.871779
102.0,3,12.875313
101.0,1,12.876521
101.0,1,12.87778
101.0,1,12.879177
101.0,1,12.880535
101.0,2,12.882866
101.0,2,12.886648
103.0,5,12.895639
101.0,1,12.897477
102.0,3,12.902606
101.0,1,12.903794
101.0,2,12.90638
101.0,1,12.907678
101.0,2,12.910117
102.0,2,12.912749
101.0,1,12.914036
101.0,1,12.91539
101.0,1,12.917094
101.0,1,12.918566
101.0,1,12.919852
101.0,2,12.922228
102.0,5,12.928926
102.0,2,12.931433
102.0,2,12.934257
102.0,3,12.937865
101.0,1,12.939085
102.0,2,12.941475
101.0,1,12.942727
101.0,1,12.944026
106.0,6,12.953352
104.0,5,12.961848
101.0,1,12.96366
101.0,1,12.965837
101.0,1,12.967721
104.0,4,12.974936
101.0,1,12.976917
101.0,1,12.9787
102.0,3,12.983164
101.0,2,12.985493
101.0,1,12.986759
102.0,2,12.989197
105.0,5,12.995804
104.0,4,13.000733
101.0,5,13.006931
103.0,3,13.01156
101.0,1,13.013542
106.0,7,13.025924
102.0,2,13.029817
101.0,2,13.033443
101.0,1,13.035333
102.0,2,13.038963
101.0,1,13.040738
101.0,1,13.042923
101.0,1,13.044321
102.0,3,13.047972
101.0,2,13.050437
103.0,4,13.055454
101.0,1,13.056666
101.0,2,13.060143
104.0,5,13.066686
101.0,1,13.067935
102.0,2,13.070371
101.0,1,13.071818
102.0,3,13.076184
101.0,1,13.077444
101.0,1,13.078686
101.0,1,13.079959
102.0,2,13.082468
104.0,5,13.088911
101.0,1,13.090942
103.0,3,13.096231
104.0,4,13.103807
105.0,5,13.11064
104.0,4,13.115612
104.0,5,13.122121
101.0,1,13.123391
101.0,1,13.124635
101.0,1,13.125878
101.0,1,13.12712
101.0,2,13.129557
104.0,5,13.13572
101.0,1,13.137682
103.0,5,13.143879
106.0,7,13.152022
101.0,1,13.153704
105.0,6,13.160945
101.0,1,13.16213
101.0,1,13.163448
101.0,2,13.165991
102.0,3,13.170157
101.0,1,13.171417
104.0,5,13.177044
103.0,7,13.185769
101.0,1,13.18698
101.0,1,13.188267
101.0,1,13.189599
101.0,1,13.190879
104.0,5,13.197141
101.0,1,13.198431
101.0,1,13.199708
101.0,1,13.201758
101.0,1,13.203738
103.0,4,13.209467
101.0,1,13.21073
101.0,1,13.211967
102.0,3,13.215444
103.0,4,13.221419
104.0,6,13.228765
101.0,1,13.230093
101.0,1,13.231404
102.0,3,13.235507
104.0,4,13.240533
101.0,1,13.241844
101.0,1,13.243064
102.0,2,13.245656
102.0,3,13.250277
101.0,1,13.252257
101.0,2,13.256055
101.0,1,13.257922
101.0,1,13.259828
102.0,2,13.263454
101.0,1,13.266178
106.0,7,13.274321
104.0,4,13.279108
101.0,1,13.280743
101.0,1,13.282133
101.0,1,13.283401
101.0,1,13.284599
102.0,2,13.287054
101.0,1,13.288329
101.0,2,13.290757
101.0,2,13.29335
101.0,2,13.295853
102.0,4,13.302527
101.0,1,13.303807
101.0,2,13.306151
101.0,1,13.307478
101.0,1,13.308903
101.0,1,13.310218
102.0,2,13.313398
101.0,2,13.31691
104.0,5,13.325628
106.0,6,13.334545
101.0,1,13.335873
102.0,2,13.338306
101.0,1,13.339754
104.0,4,13.345227
101.0,1,13.346815
101.0,1,13.348078
101.0,1,13.349344
101.0,1,13.350621
102.0,2,13.352963
101.0,1,13.354125
104.0,5,13.36001
101.0,2,13.362972
101.0,3,13.366781
101.0,1,13.368043
101.0,1,13.369303
101.0,1,13.370643
104.0,4,13.375196
101.0,1,13.376685
101.0,2,13.380418
101.0,1,13.382202
101.0,1,13.383987
103.0,3,13.389429
101.0,1,13.391195
101.0,1,13.3932
106.0,10,13.405731
101.0,2,13.408468
104.0,4,13.413577
102.0,3,13.417115
102.0,4,13.422235
102.0,2,13.425208
101.0,1,13.426616
101.0,1,13.427926
102.0,2,13.430433
101.0,1,13.431647
104.0,5,13.439556
103.0,4,13.44478
101.0,1,13.446044
105.0,8,13.455739
102.0,3,13.461818
102.0,3,13.467106
101.0,1,13.469191
101.0,1,13.471149
103.0,4,13.478907
101.0,2,13.48269
102.0,3,13.486632
104.0,5,13.495198
101.0,1,13.497069
101.0,1,13.498867
101.0,1,13.500826
101.0,1,13.502723
101.0,1,13.504883
101.0,1,13.506918
101.0,1,13.508718
101.0,3,13.513937
101.0,1,13.515815
102.0,2,13.519357
106.0,6,13.527484
101.0,1,13.528749
105.0,5,13.534961
101.0,2,13.538355
101.0,1,13.54019
102.0,2,13.543693
102.0,2,13.547302
102.0,2,13.550858
101.0,1,13.553144
101.0,1,13.555156
101.0,1,13.556914
101.0,1,13.558645
101.0,1,13.560444
104.0,6,13.572462
101.0,1,13.574257
103.0,3,13.579323
101.0,1,13.581122
104.0,4,13.58767
103.0,4,13.592488
104.0,8,13.604057
101.0,1,13.605958
101.0,2,13.609588
103.0,3,13.614888
101.0,1,13.617076
101.0,1,13.618423
101.0,1,13.61971
102.0,3,13.623337
101.0,2,13.625747
102.0,3,13.629627
103.0,3,13.633365
101.0,1,13.634695
101.0,1,13.636014
102.0,2,13.638434
101.0,2,13.640874
101.0,1,13.642128
101.0,1,13.643471
103.0,4,13.648448
101.0,1,13.650248
101.0,1,13.651528
101.0,1,13.652718
101.0,1,13.653914
101.0,1,13.655088
103.0,4,13.660073
101.0,1,13.661396
104.0,4,13.667503
101.0,1,13.668802
102.0,3,13.672783
103.0,3,13.676668
102.0,3,13.680582
104.0,5,13.68971
102.0,3,13.695243
104.0,4,13.701328
101.0,1,13.702641
104.0,4,13.707811
102.0,2,13.710094
104.0,5,13.716689
102.0,2,13.719133
102.0,3,13.722924
101.0,1,13.724188
101.0,1,13.725374
104.0,4,13.731639
102.0,3,13.736635
105.0,8,13.751588
101.0,1,13.753351
101.0,1,13.755208
104.0,5,13.763983
102.0,2,13.766876
101.0,2,13.76936
105.0,5,13.77523
101.0,1,13.776985
101.0,1,13.780086
102.0,2,13.785763
102.0,2,13.788452
101.0,1,13.789617
103.0,6,13.797105
104.0,8,13.806886
104.0,5,13.813406
103.0,3,13.817014
103.0,4,13.821932
106.0,7,13.830538
105.0,5,13.836596
106.0,6,13.844635
101.0,1,13.845839
104.0,5,13.851942
103.0,5,13.858739
101.0,1,13.859991
101.0,1,13.861174
102.0,2,13.863678
101.0,1,13.864985
101.0,1,13.866273
102.0,2,13.868828
102.0,2,13.871257
101.0,1,13.873375
101.0,2,13.877399
103.0,7,13.89028
101.0,1,13.891626
102.0,2,13.894092
