#{"t_start": 1760184802.4933827, "env_id": "None"}
r,l,t
103.0,5,4.964906
102.0,4,4.969761
101.0,2,4.97198
103.0,3,4.975729
101.0,1,4.977217
104.0,5,4.983228
104.0,5,4.989262
7.0,10,5.005277
102.0,2,5.008381
105.0,6,5.018182
102.0,3,5.022551
101.0,1,5.023739
103.0,3,5.028543
101.0,1,5.02973
103.0,4,5.034728
102.0,2,5.037278
101.0,1,5.038634
102.0,2,5.04224
102.0,2,5.046141
102.0,4,5.051513
102.0,2,5.054063
101.0,1,5.055494
101.0,1,5.057461
101.0,1,5.059229
101.0,2,5.062553
101.0,1,5.0638
101.0,1,5.064992
102.0,2,5.06735
101.0,1,5.068739
101.0,1,5.070688
105.0,7,5.084091
101.0,1,5.085286
105.0,5,5.092557
104.0,9,5.108669
104.0,4,5.114338
101.0,1,5.115749
101.0,1,5.11924
102.0,3,5.124599
101.0,1,5.126566
101.0,2,5.130159
102.0,2,5.135639
105.0,7,5.147897
103.0,3,5.155606
103.0,3,5.159745
102.0,2,5.162285
102.0,4,5.171176
103.0,4,5.175915
101.0,2,5.178397
102.0,2,5.181111
104.0,5,5.190014
103.0,3,5.193737
101.0,1,5.195396
107.0,10,5.210298
101.0,1,5.212001
104.0,4,5.218675
101.0,1,5.220875
101.0,3,5.224805
106.0,10,5.242335
104.0,9,5.259305
101.0,1,5.261473
103.0,3,5.269131
103.0,3,5.273497
102.0,2,5.276496
101.0,2,5.279046
101.0,3,5.283573
101.0,1,5.28608
103.0,5,5.292917
101.0,1,5.294149
103.0,4,5.300034
106.0,7,5.311838
101.0,2,5.315307
104.0,5,5.325402
105.0,9,5.33807
106.0,6,5.346066
105.0,7,5.35706
103.0,3,5.360467
102.0,2,5.362833
104.0,4,5.370335
104.0,4,5.375802
102.0,3,5.379332
106.0,10,5.394587
104.0,4,5.400623
103.0,3,5.406762
101.0,2,5.40912
105.0,6,5.42007
102.0,4,5.427142
101.0,1,5.428972
101.0,1,5.430737
104.0,4,5.439577
101.0,1,5.441294
101.0,1,5.442996
102.0,2,5.446445
101.0,2,5.450474
102.0,2,5.455451
101.0,1,5.457294
104.0,7,5.470746
103.0,3,5.47435
101.0,1,5.475608
101.0,1,5.476872
104.0,6,5.486634
105.0,9,5.49745
103.0,3,5.504195
104.0,4,5.510964
103.0,3,5.516994
104.0,5,5.526658
101.0,2,5.530328
101.0,1,5.533118
102.0,2,5.535746
102.0,2,5.538441
105.0,6,5.545572
102.0,3,5.551329
104.0,5,5.560708
101.0,1,5.562826
101.0,1,5.564964
106.0,6,5.576192
101.0,1,5.577658
104.0,6,5.587601
102.0,4,5.594317
102.0,3,5.600314
101.0,2,5.602869
101.0,1,5.604285
102.0,4,5.611965
102.0,2,5.614454
102.0,2,5.618339
104.0,7,5.631154
101.0,1,5.633214
104.0,4,5.637918
102.0,3,5.64338
102.0,3,5.647455
106.0,7,5.660213
101.0,1,5.661471
101.0,1,5.662657
102.0,2,5.665093
104.0,5,5.674337
104.0,4,5.680182
103.0,4,5.686886
101.0,2,5.690013
103.0,3,5.694155
106.0,7,5.704965
106.0,7,5.715115
105.0,6,5.726492
101.0,1,5.72784
105.0,7,5.739113
105.0,7,5.750453
102.0,2,5.753034
101.0,1,5.754216
102.0,3,5.75931
103.0,4,5.766705
102.0,3,5.772729
102.0,5,5.779169
101.0,1,5.780354
101.0,1,5.781595
103.0,3,5.785855
103.0,5,5.794192
103.0,4,5.799418
102.0,2,5.801752
101.0,1,5.803182
102.0,2,5.805947
101.0,1,5.807295
104.0,4,5.811807
102.0,2,5.81418
101.0,1,5.815855
104.0,6,5.824071
103.0,3,5.827616
103.0,3,5.83115
104.0,5,5.837908
101.0,1,5.839216
102.0,2,5.841685
102.0,4,5.846322
103.0,4,5.853402
102.0,3,5.858619
102.0,2,5.862592
103.0,3,5.868714
101.0,1,5.870563
101.0,1,5.87234
101.0,2,5.875983
103.0,4,5.883136
101.0,1,5.884476
106.0,9,5.894576
102.0,4,5.900651
101.0,2,5.904369
101.0,1,5.906216
104.0,6,5.916659
105.0,7,5.924828
103.0,3,5.928277
105.0,5,5.936669
101.0,2,5.940241
101.0,1,5.942044
101.0,1,5.943942
101.0,3,5.949584
4.0,10,5.968627
106.0,6,5.979394
101.0,1,5.980739
104.0,5,5.990135
101.0,1,5.992065
101.0,1,12.38868
101.0,1,12.390229
101.0,1,12.391585
102.0,2,12.394064
102.0,2,12.396514
103.0,4,12.401564
101.0,1,12.402943
101.0,1,12.40423
101.0,1,12.405969
102.0,2,12.408413
101.0,1,12.409717
102.0,2,12.412338
101.0,1,12.41367
101.0,1,12.415099
101.0,1,12.416682
101.0,1,12.4179
102.0,2,12.420432
101.0,1,12.422551
106.0,7,12.435269
102.0,4,12.440702
104.0,5,12.447062
104.0,4,12.452949
101.0,1,12.454238
101.0,1,12.45553
102.0,2,12.457966
101.0,1,12.459291
101.0,1,12.460588
101.0,1,12.461993
102.0,4,12.467697
101.0,2,12.470196
101.0,1,12.471454
101.0,1,12.472752
104.0,4,12.477717
101.0,1,12.479006
103.0,4,12.485715
102.0,2,12.48938
101.0,1,12.491292
101.0,1,12.49315
104.0,5,12.502585
101.0,1,12.504374
101.0,1,12.506154
101.0,2,12.510472
101.0,1,12.512607
101.0,1,12.514112
105.0,8,12.524845
102.0,2,12.527226
103.0,6,12.535148
101.0,1,12.536414
101.0,1,12.537597
105.0,6,12.545474
102.0,3,12.549026
101.0,2,12.551413
101.0,1,12.552654
102.0,3,12.556529
101.0,1,12.557861
101.0,1,12.559082
101.0,4,12.564503
103.0,3,12.568166
101.0,1,12.569426
101.0,2,12.571966
105.0,5,12.578763
101.0,1,12.580003
102.0,2,12.582411
104.0,4,12.587166
101.0,1,12.588427
101.0,1,12.58962
103.0,5,12.596336
101.0,2,12.598785
103.0,3,12.602377
104.0,5,12.609609
101.0,1,12.611756
101.0,2,12.615454
102.0,2,12.618869
103.0,3,12.623998
102.0,2,12.627343
101.0,1,12.628641
102.0,2,12.631016
105.0,7,12.639634
101.0,1,12.641893
103.0,3,12.647374
101.0,1,12.648674
101.0,1,12.649932
103.0,5,12.660583
101.0,1,12.662578
101.0,3,12.668474
102.0,2,12.672039
101.0,2,12.67586
101.0,2,12.678383
101.0,1,12.679635
101.0,1,12.680889
101.0,1,12.682077
104.0,5,12.688221
101.0,1,12.690113
102.0,2,12.69246
101.0,1,12.693789
103.0,4,12.69901
102.0,3,12.702692
101.0,1,12.704435
103.0,3,12.708222
102.0,2,12.71066
101.0,2,12.713147
101.0,4,12.717969
101.0,1,12.719265
101.0,1,12.721159
104.0,5,12.727539
101.0,1,12.728834
103.0,3,12.732737
103.0,3,12.738046
104.0,6,12.748494
101.0,1,12.750302
102.0,4,12.755824
103.0,4,12.760697
103.0,3,12.764464
101.0,1,12.765798
102.0,2,12.768892
102.0,2,12.771455
104.0,5,12.777673
102.0,2,12.7801
104.0,9,12.794139
102.0,2,12.796775
103.0,4,12.801936
102.0,2,12.804189
101.0,2,12.806695
103.0,5,12.812737
101.0,1,12.814087
101.0,1,12.81595
106.0,7,12.824182
107.0,10,12.836845
102.0,3,12.840341
103.0,5,12.847116
101.0,1,12.848583
101.0,2,12.851174
102.0,3,12.854688
101.0,1,12.855974
101.0,1,12.857248
102.0,2,12.859795
102.0,2,12.862734
105.0,7,12.875071
101.0,1,12.877007
101.0,1,12.879096
101.0,1,12.880525
104.0,4,12.885142
105.0,8,12.896421
102.0,2,12.900096
101.0,1,12.901894
101.0,1,12.903815
102.0,2,12.907271
101.0,1,12.909162
102.0,2,12.912476
101.0,2,12.914912
101.0,2,12.917525
104.0,4,12.922621
101.0,2,12.925195
102.0,2,12.928384
101.0,1,12.92973
101.0,1,12.930974
104.0,7,12.940053
102.0,4,12.945401
101.0,3,12.948965
101.0,1,12.950186
101.0,2,12.952576
103.0,3,12.95624
101.0,1,12.957438
105.0,10,12.975611
102.0,2,12.979341
101.0,1,12.981139
